Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-21.817693,-43.322029,622.3,0.681,29
-21.817656,-43.322006,623.7,0.686,30
-21.817619,-43.321982,625.1,0.69,31
-21.817582,-43.321959,626.6,0.695,32
-21.817545,-43.321936,628,0.7,33
-21.817509,-43.321912,629.5,0.705,33
-21.817472,-43.321889,631.1,0.709,33
-21.817435,-43.321866,632.9,0.714,34
-21.817398,-43.321842,634.7,0.719,34
-21.817361,-43.321819,636.4,0.724,34
-21.817324,-43.321796,638,0.728,34
-21.817287,-43.321773,639.6,0.733,33
-21.81725,-43.321749,641.2,0.738,33
-21.817213,-43.321726,642.8,0.743,32
-21.817176,-43.321703,644.3,0.748,31
-21.81714,-43.321679,645.7,0.752,30
-21.817103,-43.321656,647.2,0.757,29
-21.817066,-43.321633,648.6,0.762,29
-21.817029,-43.32161,649.9,0.767,28
-21.816992,-43.321586,651.2,0.771,27
-21.816955,-43.321563,652.5,0.776,25
-21.816918,-43.32154,653.8,0.781,24
-21.816881,-43.321516,655,0.786,22
-21.816844,-43.321493,656.2,0.79,21
-21.816807,-43.32147,657.3,0.795,19
-21.81677,-43.321447,658.2,0.8,18
-21.816734,-43.321423,658.9,0.805,17
-21.816697,-43.3214,659.5,0.809,16
-21.81666,-43.321377,660.1,0.814,14
-21.816623,-43.321353,660.8,0.819,13
-21.816586,-43.32133,661.4,0.824,13
-21.816549,-43.321307,662,0.828,12
-21.816512,-43.321283,662.6,0.833,12
-21.816475,-43.32126,663.1,0.838,12
-21.816438,-43.321237,663.7,0.843,11
-21.816401,-43.321214,664.3,0.848,11
-21.816365,-43.32119,664.8,0.852,10
-21.816328,-43.321167,665.3,0.857,10
-21.816291,-43.321144,665.8,0.862,9
-21.816254,-43.32112,666.2,0.867,8
-21.816217,-43.321097,666.6,0.871,7
-21.81618,-43.321074,667,0.876,6
-21.816143,-43.321051,667.4,0.881,5
-21.816106,-43.321027,667.8,0.886,5
-21.816069,-43.321004,667.9,0.89,4
-21.816032,-43.320981,668,0.895,3
-21.815996,-43.320957,668,0.9,3
-21.815959,-43.320934,668.1,0.905,2
-21.815922,-43.320911,668.2,0.909,2
-21.815885,-43.320887,668.2,0.914,1
-21.815848,-43.320864,668.3,0.919,1
-21.815811,-43.320841,668.4,0.924,1
-21.815774,-43.320818,668.4,0.928,1
-21.815737,-43.320794,668.5,0.933,1
-21.8157,-43.320771,668.6,0.938,1
-21.815663,-43.320748,668.6,0.943,1
-21.815627,-43.320724,668.7,0.948,1
-21.81559,-43.320701,668.8,0.952,0
-21.815553,-43.320678,668.8,0.957,-1
-21.815516,-43.320655,668.9,0.962,-1
-21.815479,-43.320631,669,0.967,-2
-21.815442,-43.320608,669.1,0.971,-3
-21.815405,-43.320585,669,0.976,-4
-21.815368,-43.320561,668.6,0.981,-5
-21.815331,-43.320538,668.2,0.986,-6
-21.815294,-43.320515,667.9,0.99,-7
-21.815258,-43.320491,667.5,0.995,-8
-21.815221,-43.320468,667.2,1,-9
-21.815184,-43.320445,666.7,1.005,-9
-21.815147,-43.320422,666.3,1.009,-9
-21.81511,-43.320398,665.8,1.014,-10
-21.815073,-43.320375,665.3,1.019,-10
-21.815036,-43.320352,664.8,1.024,-10
-21.814999,-43.320328,664.3,1.028,-10
-21.814962,-43.320305,663.8,1.033,-11
-21.814925,-43.320282,663.3,1.038,-11
-21.814888,-43.320259,662.8,1.043,-11
-21.814852,-43.320235,662.3,1.047,-12
-21.814815,-43.320212,661.8,1.052,-12
-21.814778,-43.320189,661.3,1.057,-13
-21.814741,-43.320165,660.8,1.062,-13
-21.814704,-43.320142,660.1,1.067,-14
-21.814667,-43.320119,659.3,1.071,-14
-21.81463,-43.320095,658.5,1.076,-14
-21.814593,-43.320072,657.8,1.081,-14
-21.814556,-43.320049,657.1,1.086,-14
-21.814519,-43.320026,656.4,1.09,-14
-21.814483,-43.320002,655.7,1.095,-13
-21.814446,-43.319979,655.1,1.1,-13
-21.814409,-43.319956,654.5,1.105,-12
-21.814372,-43.319932,653.9,1.109,-12
-21.814335,-43.319909,653.4,1.114,-11
-21.814298,-43.319886,652.9,1.119,-12
-21.814261,-43.319863,652.3,1.124,-12
-21.814224,-43.319839,651.9,1.128,-13
-21.814187,-43.319816,651.4,1.133,-14
-21.81415,-43.319793,651,1.138,-15
-21.814114,-43.319769,650.5,1.143,-16
-21.814077,-43.319746,649.7,1.147,-17
-21.81404,-43.319723,649,1.152,-18
-21.814003,-43.3197,647.9,1.157,-19
-21.813966,-43.319676,646.8,1.162,-20
-21.813929,-43.319653,645.7,1.167,-21
-21.813892,-43.31963,644.6,1.171,-22
-21.813855,-43.319606,643.5,1.176,-22
-21.813818,-43.319583,642.4,1.181,-22
-21.813781,-43.31956,641.4,1.186,-22
-21.813745,-43.319536,640.3,1.19,-22
-21.813708,-43.319513,639.3,1.195,-22
-21.813671,-43.31949,638.2,1.2,-22
-21.813634,-43.319467,637.2,1.205,-22
-21.813597,-43.319443,636.2,1.209,-21
-21.81356,-43.31942,635.2,1.214,-21
